t,x,y,z
0,-1.04,48.96,1.92
1,0.57,49.3,-1.81
2,-1.07,52.19,-1.21
3,0.33,49.58,3.14
4,0.51,48.92,6.69
5,2.67,50.82,3.12
6,4.05,47.91,7.71
7,3.51,51.11,9.53
8,1.67,49.98,8.27
9,5.06,51.78,11.23
10,3.11,53.84,13.5
11,2.73,52.52,13.99
12,7.06,51.39,17.71
13,4.3,53.03,15.36
14,5.02,52.87,15.85
15,7.54,54.91,18.47
16,8.67,53.69,20.02
17,7.29,54.41,20.58
18,10.95,54.22,23.36
19,10.68,54.15,23.83
20,11.2,54.01,21.46
21,14.21,54.11,24.09
22,12.91,54.7,23.48
23,12.88,53.32,23.54
24,16.4,56.41,26.38
25,13.73,56.43,27.7
26,15.03,53.94,26.54
27,17.78,55.51,27.76
28,15.2,55.58,30.1
29,17.47,55.64,28.41
30,18.1,55.76,30.04
31,20.01,53.01,32.25
32,18.02,53.65,31.83
33,19.53,55.61,31.46
34,22.36,59.59,31.86
35,22.23,58.2,34.43
36,25.68,58.49,34.36
37,24.67,58.63,35.1
38,24.96,56.19,32.87
39,24.87,60.91,35.68
40,27.26,61.63,36.3
41,26.04,58.51,34.31
42,28.55,58.7,35.37
43,27.43,60.8,36.53
44,28.71,62.17,34.67
45,33.28,60.26,38.77
46,32.62,60.18,37.62
47,32.86,60.53,38.92
48,35.58,59.4,38.73
49,36.85,61.41,37.19
50,36.07,59.28,38.48
51,37.01,60.74,37.95
52,38.22,59.6,36.79
53,39.18,60.79,39.14
54,39.61,62.35,38.54
55,41.2,61.59,37.65
56,41.2,64.37,38.5
57,43.97,63.98,40.87
58,42.65,61.51,41.16
59,42.86,63.09,39.19
60,45.34,62.42,42.07
61,48.4,63.67,38.84
62,47.52,61.31,41.06
63,48.39,67.58,41.59
64,50.39,67.16,39.73
65,50.12,65.39,42.81
66,51.83,62.77,40.48
67,53.01,66.29,42.31
68,53.36,64.13,43.3
69,54.6,68.33,41.66
70,56.15,66.54,41.85
71,54.83,66.84,41.72
72,60.33,69.14,44.93
73,57.35,68.9,44.16
74,57.54,70.09,44.83
75,62.32,67.79,42.93
76,60.51,69.5,42.79
77,62.51,70.98,45.05
78,62.76,69.72,43.21
79,65.03,68.43,44.49
80,63.0,70.0,46.2
81,67.8,71.28,47.24
82,68.94,68.64,44.79
83,69.16,71.53,45.32
84,68.65,72.26,47.03
85,68.66,73.34,49.73
86,71.04,71.74,49.5
87,72.57,70.61,50.27
88,74.56,70.74,50.5
89,74.43,70.35,48.64
90,74.27,71.44,50.41
91,77.33,72.03,49.64
92,74.11,73.19,49.68
93,78.21,73.43,52.0
94,78.46,72.96,51.61
95,78.05,73.13,54.14
96,83.57,76.68,54.5
97,81.01,77.11,53.6
98,80.44,73.35,54.61
99,83.32,72.36,59.04
100,85.54,75.16,59.2
101,85.87,75.45,56.18
102,86.76,77.47,61.37
103,86.38,76.84,62.55
104,86.57,77.46,62.57
105,90.82,75.81,63.2
106,89.37,77.04,64.84
107,88.4,77.02,63.09
108,90.62,75.89,67.71
109,91.8,77.84,68.66
110,91.43,77.22,68.15
111,95.86,76.4,72.78
112,94.05,80.28,73.08
113,96.84,80.04,71.82
114,97.06,82.99,74.5
115,96.31,82.36,74.24
116,96.96,80.25,74.41
117,101.46,82.24,80.6
118,99.37,80.67,80.58
119,98.42,80.63,80.59
