t,x,y,z
0,34.052235,-118.243683,31
15,33.981893,-118.186704,57
30,33.911551,-118.129726,81
45,33.841209,-118.072747,99
60,33.770867,-118.015768,120
75,33.700525,-117.958789,139
90,33.630183,-117.901811,155
105,33.559841,-117.844832,167
120,33.489499,-117.787853,179
135,33.419157,-117.730874,178
150,33.348814,-117.673896,180
165,33.278472,-117.616917,176
180,33.20813,-117.559938,165
195,33.137788,-117.502959,156
210,33.067446,-117.445981,141
225,32.997104,-117.389002,131
240,32.926762,-117.332023,102
255,32.85642,-117.275044,78
270,32.786078,-117.218066,55
285,32.715736,-117.161087,27
