t,x,y,z
0,1.89,51.94,-1.38
1,-0.75,51.3,-1.31
2,1.04,51.42,-0.83
3,-0.05,52.15,1.22
4,2.02,49.24,-0.04
5,-0.05,49.01,1.34
6,0.83,49.34,1.74
7,1.26,51.57,2.42
8,3.75,48.26,1.99
9,3.79,51.53,2.82
10,1.3,50.19,0.11
11,3.78,50.85,0.64
12,4.87,54.38,1.41
13,5.26,51.8,1.41
14,5.63,54.74,0.94
15,5.73,50.43,1.57
16,5.81,52.96,3.28
17,5.92,52.48,1.71
18,8,54.14,1.81
19,5.16,53.3,4.84
20,5.36,54.59,3.81
21,8.65,51.9,4.29
22,7.87,49.77,4.34
23,6.17,49.99,5.17
24,9.82,52.14,2.11
25,9.9,54.52,3.45
26,8.61,52.89,4.92
27,9.66,52.24,3.84
28,10.3,54.19,6.0
29,8.02,55.39,5.51
30,10.59,50.77,5.51
31,8.94,52.44,5.75
32,8.86,49.94,3.85
33,9,52.12,6.9
34,9.55,53.14,4.6
35,10.15,53.6,6.18
36,11.12,53.2,5.32
37,12.8,53.65,6.88
38,13.26,50.24,6.69
39,15,53.19,6.0
40,14.82,55.08,7.06
41,14.08,55.88,5.89
42,14.82,53.17,6.12
43,12.28,53.33,5.18
44,13.33,55.45,5.0
45,16.1,55.34,8.94
46,15.6,54.71,8.97
47,16.83,52.66,9.48
48,16.51,53.14,9.21
49,15.48,52.96,8.68
50,16.75,52.33,7.41
51,16.42,58.07,7.86
52,16.42,56.85,9.58
53,16.27,55.08,10.5
54,16.23,55.18,10.59
55,19.66,55.08,9.71
56,16.01,52.06,10.07
57,18.33,54.4,10.38
58,20.16,54.74,10.01
59,19.99,56.57,10.15
60,18.26,56.67,10.76
61,21.61,58.94,9.15
62,21.37,58.59,10.59
63,19.82,56.83,11.52
64,19.93,57.14,11.06
65,22.39,56.49,9.96
66,23.18,56.17,12.03
67,22.85,58.96,10.25
68,24,57.86,11.79
69,23.83,57.03,12.54
70,22.01,56.18,11.11
71,24.28,57.44,11.18
72,23.03,56.17,12.47
73,23.45,55.4,12.18
74,22,56.33,13.86
75,23.92,56.72,16.09
76,26.04,59.58,15.87
77,26.41,56.12,15.46
78,26.78,56.88,16.1
79,24.48,57.93,14.29
80,25.36,54.92,14.88
81,27.96,59.34,15.24
82,26.37,56.43,15.64
83,26.33,57.68,16.65
84,29.53,58.67,19.56
85,30,56.37,17.62
86,27.05,55.6,20.41
87,29.63,58.49,21.26
88,29.99,60.68,21.3
89,30.2,61.31,21.04
90,30.95,60.51,20.12
91,30.69,61.37,22.19
92,28.38,58.26,19.41
93,29.54,60.51,23.93
94,30.43,58.16,23.69
95,30.5,60.61,23.69
96,33.58,60.8,22.13
97,34,60.6,26.13
98,33.58,60.75,22.83
99,34.03,59.91,24.16
100,31.75,61.55,27.39
101,31.52,59.87,27.18
102,34.57,62.21,24.93
103,34.62,62.81,25.1
104,32.96,60.41,28.93
105,35.72,60.81,29.97
106,35.97,58.74,28.5
107,33.5,61.3,27.31
108,34.36,62.82,28.55
109,36.72,59.76,30.54
110,35.49,59.51,30.24
111,36.38,61.03,30.21
112,38.73,60.5,30.22
113,35,62.88,32.35
114,39.47,64.12,33.1
115,36.84,64.57,33.09
116,37.49,64.33,31.36
117,39.52,63.77,34.7
118,37.26,63.55,35.46
119,40.73,62.1,32.07
120,41.25,59.83,32.12
121,41.4,61.55,33.1
122,38.58,62.42,34.39
123,40.19,60.92,35.89
124,39.23,60.89,35.17
125,42.27,63.41,35.2
126,41.42,61.85,35.27
127,44,61.12,34.97
128,42.63,62.25,34.78
129,42.43,62.33,31.97
130,42.41,62.56,34.89
131,42.49,62.36,34.73
132,45.94,61.8,34.93
133,43.2,64.82,34.43
134,46,63.55,35.14
135,45.78,65.14,33.63
136,44.02,63.39,31.06
137,45.96,64.95,32.38
138,46.74,65.04,32.24
139,45.0,61.98,34.32
140,45.47,62.78,31.77
141,45,66.44,33.83
142,48.72,64.4,33.2
143,48.28,64.65,33.66
144,47.08,63.47,31.4
145,47.26,63.93,31.44
146,46.84,61.28,34.25
147,49.72,66.81,30.87
148,49.78,63.94,29.98
149,50.51,64.84,32.02
150,50.97,65.02,30.92
151,49.34,62.86,32.41
152,51.62,62.72,33.47
153,49.61,63.76,32.18
154,50.46,64.9,30.0
155,51.53,64.25,29.97
156,54,66.28,31.74
157,51.18,68.1,28.53
158,51.24,68.35,29.26
159,52.5,67.0,29.23
160,53.56,68.56,30.38
161,52.02,66.2,30.9
162,53.29,65.03,30.93
163,53.44,65.3,28.33
164,53.31,65.11,28.83
165,56.45,69.42,29.6
166,54.08,70.44,29.69
167,56.32,69.52,31.02
168,57.2,65.76,29.83
169,56.69,68.42,29.69
170,56.94,66.41,28.38
171,55.31,66.91,29.87
172,56.14,66.57,28.12
173,57.5,66.65,27.63
174,56.93,69.94,28.13
175,58.61,69.83,29.52
176,57.48,69.42,28.42
177,59.76,68.2,28.88
178,59.6,65.17,28.42
179,58.23,67.72,27.62
180,62,68.14,31.07
181,62,65.49,29.13
182,61.07,66.59,28.41
183,61.87,64.55,29.12
184,60.0,65.09,29.87
185,60.27,67.34,29.34
186,60.61,68.46,31.77
187,61.37,70.86,33.0
188,61.4,70.54,32.06
189,61.47,70.31,29.55
190,61,68.4,32.06
191,61.24,71.42,30.11
192,64.92,68.4,33.22
193,63.0,71.09,32.57
194,63.49,69.29,30.23
195,65.59,67.06,33.26
196,65.77,69.4,30.74
197,65.79,66.67,31.84
198,67.22,69.96,32.45
199,65.32,71.83,32.25
200,65.13,70.08,32.45
201,67.87,70.66,34.93
202,65.6,70.03,34.42
203,68.8,70.06,32.5
204,66.13,69.61,32.24
205,69.54,69.22,35.18
206,66.74,69.93,34.71
207,68.4,70.26,36.07
208,69.71,70.3,35.53
209,69.61,67.94,35.41
210,69.44,70.65,36.5
211,71.96,72.03,37.0
212,70.69,71.88,33.0
213,70.26,70.19,34.86
214,71.62,68.26,34.97
215,70.25,68.43,36.57
216,71.3,72.34,35.37
217,70.96,70.91,34.92
218,70.38,72.84,35.2
219,74.87,72.15,35.51
220,72.48,71.64,35.63
221,73.79,71.83,35.8
222,72,72.22,36.23
223,75.11,73.05,35.94
224,72.9,72.91,37.85
225,76.02,72.69,36.39
226,75.78,74.75,36.08
227,73.92,74.09,38.01
228,77.6,73.63,38.65
229,75.48,71.75,37.09
230,74.31,73.1,37.48
231,77.79,74.89,37.74
232,77.76,73.19,39.21
233,78.51,74.69,37.26
234,79.35,75.75,40.62
235,77.08,75.12,38.46
236,76.33,74.96,40.22
237,77.42,73.63,40.78
238,78.05,72.38,38.98
239,78.09,71.1,40.97
