t,x,y,z
0.0,-1490.0,15.0,260.0
0.1,-1490.0,17.7,260.0
0.2,-1490.0,20.4,260.0
0.3,-1490.0,23.1,260.0
0.4,-1490.0,25.8,260.0
0.5,-1490.0,28.5,260.0
0.6,-1490.0,31.2,260.0
0.7,-1490.0,33.9,260.0
0.8,-1490.0,36.6,260.0
0.9,-1490.0,39.3,260.0
1.0,-1490.0,42.0,260.0
1.1,-1490.0,44.7,260.0
1.2,-1490.0,47.4,260.0
1.3,-1490.0,50.1,260.0
1.4,-1490.0,52.8,260.0
1.5,-1490.0,55.5,260.0
1.6,-1490.0,58.2,260.0
1.7,-1490.0,60.9,260.0
1.8,-1490.0,63.6,260.0
1.9,-1490.0,66.3,260.0
2.0,-1490.0,69.0,260.0
2.1,-1490.0,71.6999999999999,260.0
2.2,-1490.0,74.4,260.0
2.3,-1490.0,77.1,260.0
2.4,-1490.0,79.8,260.0
2.5,-1490.0,82.5,260.0
2.6,-1490.0,85.2,260.0
2.7,-1490.0,87.9,260.0
2.8,-1490.0,90.6,260.0
2.9,-1490.0,93.3,260.0
3.0,-1490.0,96.0,260.0
3.1,-1490.0,98.7,260.0
3.2,-1490.0,101.4,260.0
3.3,-1490.0,104.1,260.0
3.4,-1490.0,106.8,260.0
3.5,-1490.0,109.5,260.0
3.6,-1490.0,112.2,260.0
3.7,-1490.0,114.9,260.0
3.8,-1490.0,117.6,260.0
3.9,-1490.0,120.3,260.0
4.0,-1490.0,123.0,260.0
4.1,-1490.0,125.699999999999,260.0
4.2,-1490.0,128.399999999999,260.0
4.3,-1490.0,131.1,260.0
4.4,-1490.0,133.8,260.0
4.5,-1490.0,136.5,260.0
4.6,-1490.0,139.2,260.0
4.7,-1490.0,141.899999999999,260.0
4.8,-1490.0,144.6,260.0
4.9,-1490.0,147.3,260.0
5.0,-1490.0,150.0,260.0
5.1,-1489.0,150.0,260.048879837067
5.2,-1488.0,150.0,260.097759674134
5.3,-1487.0,150.0,260.146639511201
5.4,-1486.0,150.0,260.195519348268
5.5,-1485.0,150.0,260.244399185336
5.6,-1484.0,150.0,260.293279022403
5.7,-1483.0,150.0,260.34215885947
5.8,-1482.0,150.0,260.391038696537
5.9,-1481.0,150.0,260.439918533604
6.0,-1480.0,150.0,260.488798370672
6.1,-1479.0,150.0,260.537678207739
6.2,-1478.0,150.0,260.586558044806
6.3,-1477.0,150.0,260.635437881873
6.4,-1476.0,150.0,260.68431771894
6.5,-1475.0,150.0,260.733197556008
6.6,-1474.0,150.0,260.782077393075
6.7,-1473.0,150.0,260.830957230142
6.8,-1472.0,150.0,260.879837067209
6.9,-1471.0,150.0,260.928716904277
