t,x,y,z
0,-1490,15.0,260
0.1,-1490,17.7,260
0.2,-1490,20.4,260
0.3,-1490,23.1,260
0.4,-1490,25.8,260
0.5,-1490,28.5,260
0.6,-1490,31.2,260
0.7,-1490,33.900000000000006,260
0.8,-1490,36.6,260
0.9,-1490,39.3,260
1.0,-1490,42.0,260
1.1,-1490,44.7,260
1.2,-1490,47.4,260
1.3,-1490,50.1,260
1.4,-1490,52.800000000000004,260
1.5,-1490,55.5,260
1.6,-1490,58.2,260
1.7,-1490,60.900000000000006,260
1.8,-1490,63.6,260
1.9,-1490,66.3,260
2.0,-1490,69.0,260
2.1,-1490,71.69999999999999,260
2.2,-1490,74.4,260
2.3,-1490,77.1,260
2.4,-1490,79.8,260
2.5,-1490,82.5,260
2.6,-1490,85.2,260
2.7,-1490,87.9,260
2.8,-1490,90.60000000000001,260
2.9,-1490,93.3,260
3.0,-1490,96.0,260
3.1,-1490,98.7,260
3.2,-1490,101.4,260
3.3,-1490,104.10000000000001,260
3.4,-1490,106.80000000000001,260
3.5,-1490,109.5,260
3.6,-1490,112.2,260
3.7,-1490,114.9,260
3.8,-1490,117.6,260
3.9,-1490,120.3,260
4.0,-1490,123.0,260
4.1,-1490,125.69999999999999,260
4.2,-1490,128.39999999999998,260
4.3,-1490,131.1,260
4.4,-1490,133.8,260
4.5,-1490,136.5,260
4.6,-1490,139.2,260
4.7,-1490,141.89999999999998,260
4.8,-1490,144.6,260
4.9,-1490,147.3,260
5.0,-1490.0,150,260.0
5.1,-1489.0,150,260.0488798370672
5.2,-1488.0,150,260.0977596741344
5.3,-1487.0,150,260.1466395112016
5.4,-1486.0,150,260.1955193482688
5.5,-1485.0,150,260.244399185336
5.6,-1484.0,150,260.2932790224033
5.7,-1483.0,150,260.3421588594705
5.8,-1482.0,150,260.3910386965377
5.9,-1481.0,150,260.4399185336049
6.0,-1480.0,150,260.4887983706721
6.1,-1479.0,150,260.5376782077393
6.2,-1478.0,150,260.5865580448065
6.3,-1477.0,150,260.6354378818737
6.4,-1476.0,150,260.6843177189409
6.5,-1475.0,150,260.7331975560081
6.6,-1474.0,150,260.7820773930754
6.7,-1473.0,150,260.8309572301426
6.8,-1472.0,150,260.8798370672098
6.9,-1471.0,150,260.928716904277
7.0,-1470.0,150,260.9775967413442
7.1,-1469.0,150,261.0264765784114
7.2,-1468.0,150,261.0753564154786
7.3,-1467.0,150,261.1242362525458
7.4,-1466.0,150,261.173116089613
7.5,-1465.0,150,261.2219959266802
7.6,-1464.0,150,261.2708757637474
7.7,-1463.0,150,261.3197556008147
7.8,-1462.0,150,261.3686354378819
7.9,-1461.0,150,261.4175152749491
8.0,-1460.0,150,261.4663951120163
8.1,-1459.0,150,261.5152749490835
8.2,-1458.0,150,261.5641547861507
8.3,-1457.0,150,261.6130346232179
8.4,-1456.0,150,261.6619144602851
8.5,-1455.0,150,261.7107942973523
8.6,-1454.0,150,261.7596741344195
8.7,-1453.0,150,261.8085539714868
8.8,-1452.0,150,261.857433808554
8.9,-1451.0,150,261.9063136456212
9.0,-1450.0,150,261.9551934826884
9.1,-1449.0,150,262.0040733197556
9.2,-1448.0,150,262.0529531568228
9.3,-1447.0,150,262.10183299389
9.4,-1446.0,150,262.1507128309572
9.5,-1445.0,150,262.1995926680244
9.6,-1444.0,150,262.2484725050916
9.7,-1443.0,150,262.2973523421589
9.8,-1442.0,150,262.3462321792261
9.9,-1441.0,150,262.3951120162933
10.0,-1440.0,150,262.4439918533605
10.1,-1439.0,150,262.4928716904277
10.2,-1438.0,150,262.5417515274949
10.3,-1437.0,150,262.5906313645621
10.4,-1436.0,150,262.6395112016293
10.5,-1435.0,150,262.6883910386965
10.6,-1434.0,150,262.7372708757637
10.7,-1433.0,150,262.78615071283093
10.8,-1432.0,150,262.8350305498982
10.9,-1431.0,150,262.8839103869654
11.0,-1430.0,150,262.9327902240326
11.1,-1429.0,150,262.9816700610998
11.2,-1428.0,150,263.030549898167
11.3,-1427.0,150,263.0794297352342
11.4,-1426.0,150,263.1283095723014
11.5,-1425.0,150,263.1771894093686
11.6,-1424.0,150,263.2260692464358
11.7,-1423.0,150,263.27494908350303
11.8,-1422.0,150,263.3238289205703
11.9,-1421.0,150,263.3727087576375
12.0,-1420.0,150,263.4215885947047
12.1,-1419.0,150,263.4704684317719
12.2,-1418.0,150,263.5193482688391
12.3,-1417.0,150,263.5682281059063
12.4,-1416.0,150,263.6171079429735
12.5,-1415.0,150,263.6659877800407
12.6,-1414.0,150,263.7148676171079
12.7,-1413.0,150,263.76374745417513
12.8,-1412.0,150,263.81262729124234
12.9,-1411.0,150,263.8615071283096
13.0,-1410.0,150,263.9103869653768
13.1,-1409.0,150,263.959266802444
13.2,-1408.0,150,264.0081466395112
13.3,-1407.0,150,264.0570264765784
13.4,-1406.0,150,264.1059063136456
13.5,-1405.0,150,264.1547861507128
13.6,-1404.0,150,264.20366598778
13.7,-1403.0,150,264.25254582484723
13.8,-1402.0,150,264.30142566191444
13.9,-1401.0,150,264.3503054989817
14.0,-1400.0,150,264.3991853360489
14.1,-1399.0,150,264.4480651731161
14.2,-1398.0,150,264.4969450101833
14.3,-1397.0,150,264.5458248472505
14.4,-1396.0,150,264.5947046843177
14.5,-1395.0,150,264.6435845213849
14.6,-1394.0,150,264.6924643584521
14.7,-1393.0,150,264.74134419551933
14.8,-1392.0,150,264.79022403258654
14.9,-1391.0,150,264.83910386965374
15.0,-1390.0,150,264.887983706721
15.1,-1389.0,150,264.9368635437882
15.2,-1388.0,150,264.9857433808554
15.3,-1387.0,150,265.0346232179226
15.4,-1386.0,150,265.0835030549898
15.5,-1385.0,150,265.132382892057
15.6,-1384.0,150,265.1812627291242
15.7,-1383.0,150,265.23014256619143
15.8,-1382.0,150,265.27902240325864
15.9,-1381.0,150,265.32790224032584
16.0,-1380.0,150,265.3767820773931
16.1,-1379.0,150,265.4256619144603
16.2,-1378.0,150,265.4745417515275
16.3,-1377.0,150,265.5234215885947
16.4,-1376.0,150,265.5723014256619
16.5,-1375.0,150,265.6211812627291
16.6,-1374.0,150,265.6700610997963
16.7,-1373.0,150,265.71894093686353
16.8,-1372.0,150,265.76782077393074
16.9,-1371.0,150,265.81670061099794
17.0,-1370.0,150,265.86558044806515
17.1,-1369.0,150,265.9144602851324
17.2,-1368.0,150,265.9633401221996
17.3,-1367.0,150,266.0122199592668
17.4,-1366.0,150,266.061099796334
17.5,-1365.0,150,266.1099796334012
17.6,-1364.0,150,266.1588594704684
17.7,-1363.0,150,266.20773930753563
17.8,-1362.0,150,266.25661914460284
17.9,-1361.0,150,266.30549898167004
18.0,-1360.0,150,266.35437881873725
18.1,-1359.0,150,266.4032586558045
18.2,-1358.0,150,266.4521384928717
18.3,-1357.0,150,266.5010183299389
18.4,-1356.0,150,266.5498981670061
18.5,-1355.0,150,266.5987780040733
18.6,-1354.0,150,266.64765784114053
18.7,-1353.0,150,266.69653767820773
18.8,-1352.0,150,266.74541751527494
18.9,-1351.0,150,266.79429735234214
19.0,-1350.0,150,266.84317718940935
19.1,-1349.0,150,266.89205702647655
19.2,-1348.0,150,266.9409368635438
19.3,-1347.0,150,266.989816700611
19.4,-1346.0,150,267.0386965376782
19.5,-1345.0,150,267.0875763747454
19.6,-1344.0,150,267.13645621181263
19.7,-1343.0,150,267.18533604887983
19.8,-1342.0,150,267.23421588594704
19.9,-1341.0,150,267.28309572301424
20.0,-1340.0,150,267.33197556008145
20.1,-1339.0,150,267.38085539714865
20.2,-1338.0,150,267.4297352342159
20.3,-1337.0,150,267.4786150712831
20.4,-1336.0,150,267.5274949083503
20.5,-1335.0,150,267.5763747454175
20.6,-1334.0,150,267.62525458248473
20.7,-1333.0,150,267.67413441955193
20.8,-1332.0,150,267.72301425661914
20.9,-1331.0,150,267.77189409368634
21.0,-1330.0,150,267.82077393075355
21.1,-1329.0,150,267.86965376782075
21.2,-1328.0,150,267.918533604888
21.3,-1327.0,150,267.9674134419552
21.4,-1326.0,150,268.0162932790224
21.5,-1325.0,150,268.0651731160896
21.6,-1324.0,150,268.11405295315683
21.7,-1323.0,150,268.16293279022403
21.8,-1322.0,150,268.21181262729124
21.9,-1321.0,150,268.26069246435844
22.0,-1320.0,150,268.30957230142565
22.1,-1319.0,150,268.35845213849285
22.2,-1318.0,150,268.40733197556006
22.3,-1317.0,150,268.4562118126273
22.4,-1316.0,150,268.5050916496945
22.5,-1315.0,150,268.5539714867617
22.6,-1314.0,150,268.60285132382893
22.7,-1313.0,150,268.65173116089613
22.8,-1312.0,150,268.70061099796334
22.9,-1311.0,150,268.74949083503054
23.0,-1310.0,150,268.79837067209775
23.1,-1309.0,150,268.84725050916495
23.2,-1308.0,150,268.89613034623216
23.3,-1307.0,150,268.9450101832994
23.4,-1306.0,150,268.9938900203666
23.5,-1305.0,150,269.0427698574338
23.6,-1304.0,150,269.09164969450103
23.7,-1303.0,150,269.14052953156823
23.8,-1302.0,150,269.18940936863544
23.9,-1301.0,150,269.23828920570264
24.0,-1300.0,150,269.28716904276985
24.1,-1299.0,150,269.33604887983705
24.2,-1298.0,150,269.38492871690426
24.3,-1297.0,150,269.43380855397146
24.4,-1296.0,150,269.4826883910387
24.5,-1295.0,150,269.5315682281059
24.6,-1294.0,150,269.58044806517313
24.7,-1293.0,150,269.62932790224033
24.8,-1292.0,150,269.67820773930754
24.9,-1291.0,150,269.72708757637474
25.0,-1290.0,150,269.77596741344195
25.1,-1289.0,150,269.82484725050915
25.2,-1288.0,150,269.87372708757636
25.3,-1287.0,150,269.92260692464356
25.4,-1286.0,150,269.9714867617108
25.5,-1285.0,150,270.020366598778
25.6,-1284.0,150,270.06924643584523
25.7,-1283.0,150,270.11812627291243
25.8,-1282.0,150,270.16700610997964
25.9,-1281.0,150,270.21588594704684
26.0,-1280.0,150,270.26476578411405
26.1,-1279.0,150,270.31364562118125
26.2,-1278.0,150,270.36252545824846
26.3,-1277.0,150,270.41140529531566
26.4,-1276.0,150,270.46028513238286
26.5,-1275.0,150,270.5091649694501
26.6,-1274.0,150,270.55804480651733
26.7,-1273.0,150,270.60692464358453
26.8,-1272.0,150,270.65580448065174
26.9,-1271.0,150,270.70468431771894
27.0,-1270.0,150,270.75356415478615
27.1,-1269.0,150,270.80244399185335
27.2,-1268.0,150,270.85132382892056
27.3,-1267.0,150,270.90020366598776
27.4,-1266.0,150,270.94908350305496
27.5,-1265.0,150,270.9979633401222
27.6,-1264.0,150,271.04684317718943
27.7,-1263.0,150,271.09572301425663
27.8,-1262.0,150,271.14460285132384
27.9,-1261.0,150,271.19348268839104
28.0,-1260.0,150,271.24236252545825
28.1,-1259.0,150,271.29124236252545
28.2,-1258.0,150,271.34012219959266
28.3,-1257.0,150,271.38900203665986
28.4,-1256.0,150,271.43788187372706
28.5,-1255.0,150,271.48676171079427
28.6,-1254.0,150,271.53564154786153
28.7,-1253.0,150,271.58452138492873
28.8,-1252.0,150,271.63340122199594
28.9,-1251.0,150,271.68228105906314
29.0,-1250.0,150,271.73116089613035
29.1,-1249.0,150,271.78004073319755
29.2,-1248.0,150,271.82892057026476
29.3,-1247.0,150,271.87780040733196
29.4,-1246.0,150,271.92668024439917
29.5,-1245.0,150,271.97556008146637
29.6,-1244.0,150,272.02443991853363
29.7,-1243.0,150,272.07331975560083
29.8,-1242.0,150,272.12219959266804
29.9,-1241.0,150,272.17107942973524
30.0,-1240.0,150,272.21995926680245
30.1,-1239.0,150,272.26883910386965
30.2,-1238.0,150,272.31771894093686
30.3,-1237.0,150,272.36659877800406
30.4,-1236.0,150,272.41547861507127
30.5,-1235.0,150,272.46435845213847
30.6,-1234.0,150,272.5132382892057
30.7,-1233.0,150,272.56211812627294
30.8,-1232.0,150,272.61099796334014
30.9,-1231.0,150,272.65987780040734
31.0,-1230.0,150,272.70875763747455
31.1,-1229.0,150,272.75763747454175
31.2,-1228.0,150,272.80651731160896
31.3,-1227.0,150,272.85539714867616
31.4,-1226.0,150,272.90427698574337
31.5,-1225.0,150,272.95315682281057
31.6,-1224.0,150,273.0020366598778
31.7,-1223.0,150,273.05091649694504
31.8,-1222.0,150,273.09979633401224
31.9,-1221.0,150,273.14867617107944
32.0,-1220.0,150,273.19755600814665
32.1,-1219.0,150,273.24643584521385
32.2,-1218.0,150,273.29531568228106
32.3,-1217.0,150,273.34419551934826
