t,x,y,z
0.0,-1490.0,15.0,260.0
1.0,-1480.1603,19.7531,260.481
2.0,-1470.3206,24.5062,260.9619
3.0,-1460.481,29.2592,261.4429
4.0,-1450.6413,34.0123,261.9238
5.0,-1440.8016,38.7653,262.4048
6.0,-1430.9619,43.5184,262.8858
7.0,-1421.1222,48.2715,263.3667
8.0,-1411.2826,53.0245,263.8477
9.0,-1401.4429,57.7776,264.3287
10.0,-1391.6032,62.5307,264.8096
11.0,-1381.7635,67.2837,265.2906
12.0,-1371.9238,72.0368,265.7715
13.0,-1362.0842,76.7898,266.2525
14.0,-1352.2445,81.5429,266.7335
15.0,-1342.4048,86.296,267.2144
16.0,-1332.5651,91.0491,267.6954
17.0,-1322.7255,95.8021,268.1764
18.0,-1312.8858,100.5552,268.6573
19.0,-1303.0461,105.3082,269.1383
20.0,-1293.2064,110.0613,269.6192
21.0,-1283.3667,114.8144,270.1002
22.0,-1273.5271,119.5674,270.5812
23.0,-1263.6874,124.3205,271.0621
24.0,-1253.8477,129.0736,271.5431
25.0,-1244.008,133.8266,272.024
26.0,-1234.1683,138.5797,272.505
27.0,-1224.3287,143.3327,272.986
28.0,-1214.489,148.0858,273.4669
29.0,-1204.6493,152.8389,273.9479
30.0,-1194.8096,157.592,274.4289
31.0,-1184.9699,162.345,274.9098
32.0,-1175.1303,167.0981,275.3908
33.0,-1165.2906,171.8512,275.8717
34.0,-1155.4509,176.6042,276.3527
35.0,-1145.6112,181.3573,276.8337
36.0,-1135.7715,186.1104,277.3146
37.0,-1125.9319,190.8634,277.7956
38.0,-1116.0922,195.6165,278.2766
39.0,-1106.2525,200.3696,278.7575
40.0,-1096.4128,205.1226,279.2385
41.0,-1086.5731,209.8757,279.7194
42.0,-1076.7335,214.6287,280.2004
43.0,-1066.8938,219.3818,280.6814
44.0,-1057.0541,224.1349,281.1623
45.0,-1047.2144,228.888,281.6433
46.0,-1037.3747,233.641,282.1242
47.0,-1027.5351,238.3941,282.6052
48.0,-1017.6954,243.1471,283.0862
49.0,-1007.8557,247.9002,283.5671
50.0,-998.016,252.6533,284.0481
51.0,-988.1764,257.4063,284.5291
52.0,-978.3367,262.1594,285.01
53.0,-968.497,266.9125,285.491
54.0,-958.6573,271.6655,285.9719
55.0,-948.8176,276.4186,286.4529
56.0,-938.978,281.1716,286.9339
57.0,-929.1383,285.9247,287.4148
58.0,-919.2986,290.6778,287.8958
59.0,-909.4589,295.4309,288.3768
60.0,-899.6192,300.0,288.8577
61.0,-889.7796,300.0,289.3387
62.0,-879.9399,300.0,289.8196
63.0,-870.1002,300.0,290.3006
64.0,-860.2605,300.0,290.7816
65.0,-850.4208,300.0,291.2625
66.0,-840.5812,300.0,291.7435
67.0,-830.7415,300.0,292.2244
68.0,-820.9018,300.0,292.7054
69.0,-811.0621,300.0,293.1864
70.0,-801.2224,300.0,293.6673
71.0,-791.3828,300.0,294.1483
72.0,-781.5431,300.0,294.6293
73.0,-771.7034,300.0,295.1102
74.0,-761.8637,300.0,295.5912
75.0,-752.024,300.0,296.0721
76.0,-742.1844,300.0,296.5531
77.0,-732.3447,300.0,297.0341
78.0,-722.505,300.0,297.515
79.0,-712.6653,300.0,297.996
80.0,-702.8257,300.0,298.477
81.0,-692.986,300.0,298.9579
82.0,-683.1463,300.0,299.4389
83.0,-673.3066,300.0,299.9198
84.0,-663.4669,300.0,300.4008
85.0,-653.6273,300.0,300.8818
86.0,-643.7876,300.0,301.3627
87.0,-633.9479,300.0,301.8437
88.0,-624.1082,300.0,302.3246
89.0,-614.2685,300.0,302.8056
90.0,-604.4289,300.0,303.2866
91.0,-594.5892,300.0,303.7675
92.0,-584.7495,300.0,304.2485
93.0,-574.9098,300.0,304.7295
94.0,-565.0701,300.0,305.2104
95.0,-555.2305,300.0,305.6914
96.0,-545.3908,300.0,306.1723
97.0,-535.5511,300.0,306.6533
98.0,-525.7114,300.0,307.1343
99.0,-515.8717,300.0,307.6152
100.0,-506.0321,300.0,308.0962
101.0,-496.1924,300.0,308.5772
102.0,-486.3527,300.0,309.0581
103.0,-476.513,300.0,309.5391
104.0,-466.6733,300.0,310.02
105.0,-456.8337,300.0,310.501
106.0,-446.994,300.0,310.982
107.0,-437.1543,300.0,311.4629
108.0,-427.3146,300.0,311.9439
109.0,-417.4749,300.0,312.4248
110.0,-407.6353,300.0,312.9058
111.0,-397.7956,300.0,313.3868
112.0,-387.9559,300.0,313.8677
113.0,-378.1162,300.0,314.3487
114.0,-368.2766,300.0,314.8297
115.0,-358.4369,300.0,315.3106
116.0,-348.5972,300.0,315.7916
117.0,-338.7575,300.0,316.2725
118.0,-328.9178,300.0,316.7535
119.0,-319.0782,300.0,317.2345
120.0,-309.2385,300.0,317.7154
121.0,-299.3988,300.0,318.1964
122.0,-289.5591,300.0,318.6774
123.0,-279.7194,300.0,319.1583
124.0,-269.8798,300.0,319.6393
125.0,-260.0401,300.0,320.1202
126.0,-250.2004,300.0,320.6012
127.0,-240.3607,300.0,321.0822
128.0,-230.521,300.0,321.5631
129.0,-220.6814,300.0,322.0441
130.0,-210.8417,300.0,322.5251
131.0,-201.002,300.0,323.006
132.0,-191.1623,300.0,323.487
133.0,-181.3226,300.0,323.9679
134.0,-171.483,300.0,324.4489
135.0,-161.6433,300.0,324.9299
136.0,-151.8036,300.0,325.4108
137.0,-141.9639,300.0,325.8918
138.0,-132.1242,300.0,326.3727
139.0,-122.2846,300.0,326.8537
140.0,-112.4449,300.0,327.3347
141.0,-102.6052,300.0,327.8156
142.0,-92.7655,300.0,328.2966
143.0,-82.9259,300.0,328.7776
144.0,-73.0862,300.0,329.2585
145.0,-63.2465,300.0,329.7395
146.0,-53.4068,300.0,330.2204
147.0,-43.5671,300.0,330.7014
148.0,-33.7275,300.0,331.1824
149.0,-23.8878,300.0,331.6633
150.0,-14.0481,300.0,332.1443
151.0,-4.2084,300.0,332.6253
152.0,5.6313,300.0,333.1062
153.0,15.4709,300.0,333.5872
154.0,25.3106,300.0,334.0681
155.0,35.1503,300.0,334.5491
156.0,44.99,300.0,335.0301
157.0,54.8297,300.0,335.511
158.0,64.6693,300.0,335.992
159.0,74.509,300.0,336.4729
160.0,84.3487,300.0,336.9539
161.0,94.1884,300.0,337.4349
162.0,104.0281,300.0,337.9158
163.0,113.8677,300.0,338.3968
164.0,123.7074,300.0,338.8778
165.0,133.5471,300.0,339.3587
166.0,143.3868,300.0,339.8397
167.0,153.2265,300.0,340.3206
168.0,163.0661,300.0,340.8016
169.0,172.9058,300.0,341.2826
170.0,182.7455,300.0,341.7635
171.0,192.5852,300.0,342.2445
172.0,202.4248,300.0,342.7255
173.0,212.2645,300.0,343.2064
174.0,222.1042,300.0,343.6874
175.0,231.9439,300.0,344.1683
176.0,241.7836,300.0,344.6493
177.0,251.6232,300.0,345.1303
178.0,261.4629,300.0,345.6112
179.0,271.3026,300.0,346.0922
180.0,281.1423,300.0,346.5731
181.0,290.982,300.0,347.0541
182.0,300.8216,300.0,347.5351
183.0,310.6613,300.0,348.016
184.0,320.501,300.0,348.497
185.0,330.3407,300.0,348.978
186.0,340.1804,300.0,349.4589
187.0,350.02,300.0,349.9399
188.0,359.8597,300.0,350.4208
189.0,369.6994,300.0,350.9018
190.0,379.5391,300.0,351.3828
191.0,389.3788,300.0,351.8637
192.0,399.2184,300.0,352.3447
193.0,409.0581,300.0,352.8257
194.0,418.8978,300.0,353.3066
195.0,428.7375,300.0,353.7876
196.0,438.5772,300.0,354.2685
197.0,448.4168,300.0,354.7495
198.0,458.2565,300.0,355.2305
199.0,468.0962,300.0,355.7114
200.0,477.9359,300.0,356.1924
201.0,487.7756,300.0,356.6733
202.0,497.6152,300.0,357.1543
203.0,507.4549,300.0,357.6353
204.0,517.2946,300.0,358.1162
205.0,527.1343,300.0,358.5972
206.0,536.9739,300.0,359.0782
207.0,546.8136,300.0,359.5591
208.0,556.6533,300.0,360.0401
