t,x,y,z
0,48.17,50.54,39.32
1,48.51,48.0,41.37
2,49.45,50.6,39.05
3,55.41,51.31,44.66
4,54.79,51.62,45.02
5,52.98,49.93,45.74
6,59.05,50.42,47.47
7,57.01,50.27,47.42
8,57.8,49.9,48.86
9,63.49,50.87,49.76
10,63.01,52.68,53.36
11,64.36,49.56,49.76
12,65.61,54.08,55.84
13,64.59,53.29,56.45
14,65.13,53.17,54.09
15,68.25,51.05,58.08
16,68.98,52.03,56.58
17,70.62,51.86,58.62
18,74.68,53.85,60.44
19,72.57,53.63,57.79
20,72.19,54.02,60.42
21,78.07,52.58,61.13
22,75.96,54.6,60.67
23,78.39,54.11,60.92
24,80.85,53.55,60.47
25,80.92,53.46,61.43
26,78.82,54.72,60.64
27,82.95,55.05,59.56
28,83.55,53.06,60.07
29,83.55,53.95,59.82
30,83.76,54.41,55.68
31,85.16,55.75,58.14
32,85.27,53.0,56.82
33,87.39,54.47,55.42
34,85.48,56.17,55.71
35,88.54,54.78,53.44
36,88.97,54.19,50.51
37,87.31,56.41,50.67
38,88.74,55.23,51.19
39,90.46,57.6,48.67
40,88.44,58.29,49.42
41,90.04,57.05,48.97
42,90.58,55.83,42.97
43,91.42,58.02,44.74
44,89.23,57.26,43.07
45,88.55,57.85,39.47
46,92.0,58.39,42.0
47,91.62,56.55,38.44
48,88.91,56.71,36.5
49,90.86,58.79,33.9
50,90.45,55.96,34.52
51,87.73,57.24,31.31
52,90.21,56.85,33.12
53,90.3,58.46,33.17
54,86.22,56.64,27.46
55,87.01,56.34,30.24
56,86.34,57.42,30.24
57,85.99,56.78,23.62
58,87.13,59.4,25.75
59,84.54,57.62,23.14
60,83.67,56.76,21.65
61,85.53,57.3,21.72
62,83.95,59.37,21.31
63,81.46,60.37,20.3
64,83.8,59.51,18.98
65,81.19,57.82,22.98
66,78.75,57.77,19.59
67,80.44,59.92,20.71
68,78.67,60.81,18.11
69,78.67,60.11,18.87
70,76.18,57.4,19.52
71,78.25,60.1,20.95
72,74.79,60.92,21.57
73,71.51,60.03,20.38
74,74.55,60.13,22.15
75,68.45,58.86,23.43
76,69.09,60.59,21.92
77,71.78,60.68,21.5
78,65.65,58.7,26.6
79,64.31,59.24,26.16
80,64.75,60.57,23.72
81,61.4,58.42,26.24
82,63.9,61.26,30.03
83,61.52,61.04,28.76
84,58.91,59.38,30.89
85,57.63,61.19,32.62
86,57.81,60.85,31.36
87,55.07,60.6,36.85
88,56.18,60.52,37.04
89,53.65,60.59,34.6
90,48.0,59.26,39.42
91,48.58,61.3,41.47
92,48.0,58.0,39.0
93,45.03,59.38,43.34
94,46.69,59.38,45.07
95,43.82,57.99,45.64
96,40.44,60.47,49.71
97,40.35,58.84,46.3
98,40.8,59.09,46.92
99,38.41,61.21,52.59
100,36.53,60.5,52.28
101,36.87,60.66,51.23
102,34.52,58.65,53.16
103,35.03,59.17,54.14
104,35.45,59.17,55.39
105,32.0,58.2,55.32
106,30.88,60.53,56.75
107,31.33,61.07,58.33
108,24.72,60.33,58.5
109,25.56,58.57,58.44
110,27.65,58.11,58.43
111,24.14,60.17,60.61
112,24.74,60.0,59.39
113,22.24,57.34,60.4
114,19.76,58.49,60.48
115,19.27,58.34,60.84
116,21.07,60.19,59.05
117,18.28,57.23,58.39
118,15.72,60.12,58.37
119,16.7,59.84,58.38
120,16.5,59.17,59.32
121,16.63,57.47,56.69
122,13.96,58.04,56.5
123,14.9,57.7,56.08
124,14.77,59.04,54.26
125,12.63,60.11,55.63
126,13.01,59.34,52.58
127,13.9,59.15,53.06
128,13.07,57.1,52.8
129,9.24,57.07,48.66
130,9.99,58.97,48.96
131,10.33,56.35,46.99
132,11.8,56.61,45.54
133,9.36,58.44,43.53
134,11.41,56.22,42.56
135,11.22,58.03,38.93
136,10.51,58.61,41.52
137,11.02,58.39,39.23
138,12.22,57.9,34.74
139,11.12,58.04,35.13
140,8.87,57.55,37.11
141,10.22,55.58,32.97
142,12.13,57.17,32.49
143,11.58,55.58,32.46
144,10.96,54.89,29.27
145,12.71,56.43,28.89
146,10.86,56.43,27.69
147,14.51,57.45,26.38
148,11.46,53.84,25.74
149,12.01,56.57,26.54
150,16.12,53.0,21.76
151,13.98,55.72,21.5
152,13.93,54.07,21.6
153,18.57,56.09,21.5
154,18.23,53.59,20.04
155,16.97,55.17,19.97
156,19.31,54.75,20.81
157,19.64,54.85,19.2
158,21.63,52.88,18.91
159,24.24,52.32,18.97
160,23.92,52.63,21.69
161,22.37,54.67,21.72
162,25.5,54.35,19.71
163,27.48,53.75,20.29
164,27.01,52.57,19.7
165,28.11,50.59,23.42
166,28.98,51.42,23.21
167,29.34,52.02,23.23
168,34.61,50.08,24.41
169,35.27,50.08,23.14
170,33.1,51.21,26.13
171,38.68,52.28,28.88
172,36.43,50.99,27.25
173,37.13,52.77,26.8
174,42.36,53.05,32.77
175,40.69,51.8,31.31
176,42.99,49.91,30.7
177,45.02,52.01,36.53
178,47.28,51.27,34.66
179,47.77,48.52,37.35
