t,x,y
0,49.1,40.76
1,51.45,38.97
2,49.27,41.13
3,53.38,43.52
4,54.88,43.38
5,52.18,45.63
6,59.62,49.05
7,56.32,47.26
8,57.34,47.47
9,61.48,52.64
10,60.88,50.77
11,63.15,51.25
12,67.1,54.12
13,65.49,53.9
14,66.84,56.73
15,68.33,55.33
16,68.65,56.65
17,69.33,56.07
18,74.61,57.96
19,74.28,57.02
20,74.7,58.29
21,77.37,60.83
22,77.62,59.23
23,75.53,58.48
24,77.73,58.63
25,80.93,60.47
26,78.09,60.99
27,83.24,60.5
28,80.68,58.45
29,81.67,61.02
30,83.79,58.91
31,85.21,55.38
32,83.59,58.53
33,87.52,53.94
34,85.47,53.64
35,85.87,55.58
36,88.61,51.1
37,86.09,50.91
38,89.6,51.2
39,89.94,47.01
40,87.93,47.47
41,87.93,47.45
42,90.29,45.43
43,90.67,43.59
44,90.66,44.84
45,89.09,41.07
46,91.51,39.19
47,89.32,38.99
48,91.78,37.22
49,90.93,34.47
50,91.68,34.13
51,89.9,33.02
52,88.53,30.98
53,90.66,30.39
54,89.01,26.91
55,87.49,29.35
56,86.9,27.34
57,87.5,24.44
58,87.17,24.42
59,88.54,26.14
60,85.48,21.56
61,85.88,21.55
62,85.16,20.68
63,81.06,20.38
64,81.67,20.25
65,83.01,20.14
66,78.76,21.16
67,80.5,21.15
68,78.97,20.81
69,76.0,19.01
70,76.02,18.74
71,75.41,18.82
72,74.22,21.55
73,72.45,20.43
74,72.1,19.96
75,68.0,24.25
76,71.53,21.07
77,68.77,23.99
78,68.27,24.63
79,65.28,26.27
80,64.73,26.36
81,64.36,29.88
82,63.31,28.87
83,63.0,29.54
84,59.27,33.15
85,59.56,32.78
86,57.17,30.43
87,54.78,36.91
88,52.59,37.08
89,55.46,34.89
90,50.91,38.0
91,52.0,41.07
92,50.61,39.0
93,44.45,45.02
94,44.87,43.33
95,47.74,45.83
96,40.68,47.26
97,40.23,49.02
98,42.27,46.22
99,38.82,52.83
100,36.74,52.73
101,35.7,49.76
102,34.38,56.38
103,32.46,53.59
104,31.73,55.89
105,30.71,58.15
106,29.32,56.15
107,28.44,56.07
108,27.31,59.7
109,25.25,57.69
110,28.01,57.02
111,21.66,58.82
112,23.85,60.77
113,22.45,60.86
114,20.92,58.62
115,20.91,61.01
116,18.34,59.19
117,19.25,57.3
118,18.74,60.24
119,18.98,57.51
120,14.34,55.63
121,17.17,58.04
122,16.0,58.24
123,14.08,54.05
124,12.17,55.8
125,11.95,53.77
126,10.45,51.06
127,12.48,52.35
128,13.39,52.5
129,11.96,47.57
130,10.3,48.66
131,9.46,46.53
132,11.57,42.16
133,11.29,45.5
134,11.39,45.13
135,8.87,38.16
136,11.91,39.17
137,10.75,40.57
138,9.28,37.31
139,9.54,36.88
140,9.46,35.07
141,12.4,33.02
142,10.17,30.23
143,11.54,33.54
144,10.91,27.43
145,13.41,27.23
146,12.51,28.84
147,11.77,24.41
148,12.65,26.58
149,14.67,24.28
150,13.96,23.59
151,16.15,21.36
152,16.09,22.07
153,16.73,20.11
154,18.46,21.49
155,18.47,19.86
156,21.32,18.78
157,18.27,20.88
158,21.2,18.11
159,21.95,21.6
160,23.86,21.3
161,22.53,19.38
162,25.72,19.55
163,27.39,20.4
164,27.25,21.53
165,28.42,24.01
166,30.73,21.39
167,29.31,20.68
168,32.78,24.28
169,32.66,24.03
170,34.58,25.72
171,36.94,27.43
172,36.25,29.27
173,36.35,26.87
174,39.68,32.68
175,40.69,30.48
176,40.62,33.87
177,45.31,34.47
178,44.89,33.87
179,44.67,34.42
