t,x,y,z
0,4000,2000,0
1,3989.795918,2010.204082,4.081632653
2,3979.591837,2020.408163,8.163265306
3,3969.387755,2030.612245,12.24489796
4,3959.183673,2040.816327,16.32653061
5,3948.979592,2051.020408,20.40816327
6,3938.77551,2061.22449,24.48979592
7,3928.571429,2071.428571,28.57142857
8,3918.367347,2081.632653,32.65306122
9,3908.163265,2091.836735,36.73469388
10,3897.959184,2102.040816,40.81632653
11,3887.755102,2112.244898,44.89795918
12,3877.55102,2122.44898,48.97959184
13,3867.346939,2132.653061,53.06122449
14,3857.142857,2142.857143,57.14285714
15,3846.938776,2153.061224,61.2244898
16,3836.734694,2163.265306,65.30612245
17,3826.530612,2173.469388,69.3877551
18,3816.326531,2183.673469,73.46938776
19,3806.122449,2193.877551,77.55102041
20,3795.918367,2204.081633,81.63265306
21,3785.714286,2214.285714,85.71428571
22,3775.510204,2224.489796,89.79591837
23,3765.306122,2234.693878,93.87755102
24,3755.102041,2244.897959,97.95918367
25,3744.897959,2255.102041,102.0408163
26,3734.693878,2265.306122,106.122449
27,3724.489796,2275.510204,110.2040816
28,3714.285714,2285.714286,114.2857143
29,3704.081633,2295.918367,118.3673469
30,3693.877551,2306.122449,122.4489796
31,3683.673469,2316.326531,126.5306122
32,3673.469388,2326.530612,130.6122449
33,3663.265306,2336.734694,134.6938776
34,3653.061224,2346.938776,138.7755102
35,3642.857143,2357.142857,142.8571429
36,3632.653061,2367.346939,146.9387755
37,3622.44898,2377.55102,151.0204082
38,3612.244898,2387.755102,155.1020408
39,3602.040816,2397.959184,159.1836735
40,3591.836735,2408.163265,163.2653061
41,3581.632653,2418.367347,167.3469388
42,3571.428571,2428.571429,171.4285714
43,3561.22449,2438.77551,175.5102041
44,3551.020408,2448.979592,179.5918367
45,3540.816327,2459.183673,183.6734694
46,3530.612245,2469.387755,187.755102
47,3520.408163,2479.591837,191.8367347
48,3510.204082,2489.795918,195.9183673
49,3500,2500,200
50,3500,2500,200
51,3479.591837,2514.285714,201.0204082
52,3459.183673,2528.571429,202.0408163
53,3438.77551,2542.857143,203.0612245
54,3418.367347,2557.142857,204.0816327
55,3397.959184,2571.428571,205.1020408
56,3377.55102,2585.714286,206.122449
57,3357.142857,2600,207.1428571
58,3336.734694,2614.285714,208.1632653
59,3316.326531,2628.571429,209.1836735
60,3295.918367,2642.857143,210.2040816
61,3275.510204,2657.142857,211.2244898
62,3255.102041,2671.428571,212.244898
63,3234.693878,2685.714286,213.2653061
64,3214.285714,2700,214.2857143
65,3193.877551,2714.285714,215.3061224
66,3173.469388,2728.571429,216.3265306
67,3153.061224,2742.857143,217.3469388
68,3132.653061,2757.142857,218.3673469
69,3112.244898,2771.428571,219.3877551
70,3091.836735,2785.714286,220.4081633
71,3071.428571,2800,221.4285714
72,3051.020408,2814.285714,222.4489796
73,3030.612245,2828.571429,223.4693878
74,3010.204082,2842.857143,224.4897959
75,2989.795918,2857.142857,225.5102041
76,2969.387755,2871.428571,226.5306122
77,2948.979592,2885.714286,227.5510204
78,2928.571429,2900,228.5714286
79,2908.163265,2914.285714,229.5918367
80,2887.755102,2928.571429,230.6122449
81,2867.346939,2942.857143,231.6326531
