t,x,y,z
0,-0.63,50.35,-1.53
1,-0.74,50.17,-1.27
2,1.2,52.24,1.03
3,0.35,51.7,1.51
4,0.67,50.17,-1.02
5,1.18,50.28,-0.82
6,5.27,52.43,-0.43
7,5.82,53.68,-0.28
8,3.2,53.61,1.53
9,7.26,50.72,1.29
10,4.86,51.26,1.91
11,5.4,52.82,1.6
12,7.13,50.66,1.81
13,6.13,50.01,1.94
14,7.23,52.21,3.28
15,11.57,52.76,1.13
16,11.2,52.3,2.82
17,11.11,50.85,3.1
18,13.95,55.1,4.06
19,13.11,56.49,2.07
20,13.07,56.15,0.88
21,12.78,51.94,3.42
22,13.27,53.65,4.5
23,14.85,53.66,5.82
24,16.7,51.85,3.14
25,14,51.78,6.26
26,16.63,53.69,4.54
27,19.7,57.27,7.64
28,19.63,58.32,7.39
29,18.99,58.05,7.84
30,18.8,58.3,8.63
31,21.93,57.79,6.54
32,18.74,58.41,9.06
33,20.04,56.46,8.16
34,22.51,58.11,10.45
35,22.93,55.76,10.29
36,22.49,55.22,12.52
37,24.59,56.13,13.52
38,22.93,56.01,13.52
39,24,54.99,14.33
40,24,57.82,11.52
41,26.52,54.8,14.67
42,26.85,60.94,16.83
43,27.48,58.58,17.52
44,27.25,60.09,16.56
45,29.17,61.94,17.17
46,31.05,58.56,20.0
47,29.37,60.0,17.43
48,30,59.55,21.53
49,32.82,60.32,21.46
50,31.13,59.16,19.68
51,35.03,60.16,24.61
52,35.02,60.8,24.3
53,33.05,60.27,22.06
54,35.06,59.31,26.84
55,36.95,60.44,25.04
56,36.95,63.18,24.82
57,37.46,58.33,29.74
58,38.64,60.53,28.18
59,38.78,59.44,28.25
60,40.69,61.38,33.62
61,41.78,61.51,30.0
62,38.01,61.65,31.45
63,40.64,62.9,35.96
64,41.11,62.89,33.56
65,41.4,61.41,36.37
66,42.65,65.54,37.6
67,42.69,65.76,37.58
68,44.98,63.72,39.24
69,46.58,64.38,41.42
70,45.24,62.3,43.18
71,46.7,62.29,43.94
72,49.37,66.13,47.0
73,49.22,63.94,46.74
74,47.49,63.16,45.33
75,52,65.43,48.47
76,50.74,64.95,48.76
77,50.69,63.52,50.62
78,50.28,65.56,52.33
79,52.62,67.82,55.05
80,54,64.63,56.08
81,53.24,66.94,59.54
82,54.58,68.88,57.23
83,54.85,66.6,59.39
84,55.32,67.31,61.78
85,54.41,67.82,64.43
86,56.69,65.06,62.1
87,60,67.02,65.28
88,59.42,66.93,67.88
89,56.48,67.05,68.49
90,61.64,66.37,70.95
91,59.29,69.92,72.74
92,59.38,68.54,70.2
93,60.79,70.53,75.16
94,62.98,67.46,75.88
95,62.85,68.39,75.2
96,62.72,69.57,83.27
97,65.75,69.82,81.1
98,64.62,68.84,83.92
99,64,68.6,88.38
100,67.86,68.68,88.44
101,65.04,71.18,85.88
102,66.96,71.68,91.82
103,69.56,71.28,93.5
104,68.53,69.51,94.22
105,68.54,70.32,99.89
106,71.53,70.31,99.4
107,68.93,67.57,97.24
108,73.75,69.16,102.57
109,70.25,71.81,102.86
110,72.56,71.22,103.11
111,74.58,69.8,108.8
112,72.81,72.5,110.67
113,75.5,70.03,110.03
114,77.43,74.55,114.71
115,75.02,75.13,117.52
116,77.33,72.56,117.52
117,80,71.79,123.06
118,79.51,71.72,122.23
119,79.38,71.48,120.73
