t,x,y
0,-1.58,-1.84
1,3.09,0.35
2,1.09,-3.56
3,2.2,1.53
4,0.34,-0.2
5,1.77,1.97
6,2.11,0.55
7,1.97,1.74
8,5.0,1.45
9,5.83,0.27
10,5.06,0.97
11,6.17,2.05
12,0.6,1.7
13,1.01,3.26
14,0.65,4.06
15,6.87,7.82
16,5.37,4.18
17,6.28,4.53
18,4.93,3.14
19,7.18,2.61
20,9.52,7.27
21,4.82,6.81
22,8.77,4.74
23,7.42,4.48
24,9.21,9.99
25,8.47,6.11
26,11.02,7.21
27,9.02,10.58
28,11.95,7.2
29,8.96,8.62
30,10.28,9.38
31,12.05,8.71
32,13.22,10.34
33,14.52,7.87
34,12.17,6.23
35,13.98,10.37
36,15.39,11.04
37,14.5,11.34
38,15.69,11.4
39,14.98,11.24
40,16.3,13.33
41,17.06,13.85
42,17.28,15.27
43,15.1,13.8
44,14.7,13.07
45,18.84,14.65
46,16.25,13.21
47,19.45,13.63
48,16.88,14.87
49,16.43,13.39
50,18.83,16.73
51,20.05,17.99
52,19.28,17.2
53,18.05,12.94
54,19.66,17.9
55,23.83,18.56
56,20.81,18.51
57,20.08,16.7
58,21.48,17.1
59,21.16,18.61
60,24.71,19.71
61,22.05,20.17
62,24.8,20.24
63,19.69,19.97
64,24.25,19.14
65,27.49,18.56
66,25.43,21.08
67,26.15,19.63
68,24.44,18.61
69,28.75,23.83
70,29.69,22.7
71,27.18,23.94
72,28.85,23.92
73,29.1,23.77
74,27.36,20.94
75,27.34,23.75
76,30.3,25.03
77,29.07,20.4
78,27.52,23.33
79,32.0,25.78
80,31.32,27.38
81,34.3,27.44
82,33.38,25.84
83,35.64,27.53
84,28.43,24.02
85,32.52,28.79
86,34.26,30.42
87,32.93,27.7
88,33.15,26.93
89,35.26,27.14
90,38.51,28.22
91,38.75,27.2
92,38.78,30.01
93,33.7,30.16
94,38.79,27.98
95,40.08,33.22
96,37.0,33.24
97,39.02,30.27
98,37.98,30.65
99,37.94,31.0
100,39.05,31.23
101,39.56,34.17
102,40.03,32.88
103,39.99,30.48
104,40.77,31.65
105,41.13,34.03
106,39.98,35.04
107,44.83,32.39
108,42.28,33.31
109,41.25,33.5
110,45.9,35.61
111,45.02,34.99
112,46.37,35.3
113,43.21,35.88
114,43.9,36.35
115,48.06,38.08
116,48.29,36.79
117,43.56,39.08
118,46.17,37.44
119,45.13,38.12
120,47.92,37.85
121,46.32,38.82
122,51.09,37.23
123,48.2,40.19
124,46.17,35.52
125,49.6,40.25
126,49.65,41.19
127,48.34,41.94
128,49.26,39.32
129,49.02,40.06
130,51.59,41.75
131,51.8,42.88
132,52.68,39.09
133,52.0,41.63
134,49.79,44.89
135,54.34,45.15
136,55.37,42.71
137,53.61,41.66
138,54.61,44.34
139,55.71,44.12
140,56.4,47.05
141,57.61,43.15
142,55.69,47.4
143,56.5,45.88
144,57.08,45.13
145,56.69,46.73
146,59.97,44.05
147,57.24,46.17
148,57.92,46.18
149,55.64,44.95
150,61.03,47.51
151,57.92,48.39
152,59.98,48.77
153,59.38,48.79
154,62.11,52.16
155,62.64,50.67
156,61.28,51.74
157,63.27,49.3
158,62.62,50.7
159,63.38,47.8
160,65.75,51.32
161,62.07,48.45
162,63.99,49.93
163,63.22,51.65
164,61.94,52.74
165,63.83,53.14
166,62.64,51.77
167,67.92,52.56
168,66.09,51.08
169,66.47,51.74
170,68.82,55.32
171,70.83,55.29
172,68.77,56.39
173,64.6,56.36
174,68.52,54.96
175,70.38,56.33
176,70.14,54.99
177,69.21,55.24
178,69.88,53.32
179,70.92,53.64
180,70.69,60.58
181,75.23,59.22
182,71.84,56.82
183,73.02,60.29
184,72.16,55.19
185,75.08,63.06
186,72.16,59.18
187,72.11,57.74
188,74.91,58.16
189,74.62,58.26
190,75.72,60.59
191,74.65,58.97
192,76.65,60.38
193,73.28,62.54
194,76.04,60.21
195,76.88,62.54
196,75.52,62.21
197,78.15,61.79
198,75.83,60.01
199,78.2,59.79
