t,x,y
0,-2.89,-1.25
1,0.88,-0.6
2,-1.05,-1.14
3,-1.22,-0.91
4,-0.38,1.95
5,0.6,3.51
6,0.21,4.48
7,2.97,3.25
8,3.96,2.52
9,6.27,4.81
10,4.15,7.58
11,4.24,8.34
12,4.93,5.29
13,4.08,3.81
14,2.47,6.04
15,8.62,11.52
16,5.98,7.56
17,4.19,6.86
18,5.36,7.88
19,6.25,7.84
20,9.08,12.59
21,7.81,12.49
22,6.16,12.61
23,10.23,9.94
24,6.08,8.16
25,10.87,15.1
26,8.15,10.12
27,6.2,12.31
28,11.79,12.93
29,11.7,8.93
30,10.35,14.79
31,11.28,13.72
32,15.91,15.95
33,12.63,11.99
34,9.88,13.1
35,13.52,14.82
36,15.38,12.32
37,12.06,13.31
38,12.66,14.37
39,11.05,14.91
40,17.27,14.36
41,15.66,14.81
42,17.26,17.35
43,15.9,16.07
44,15.53,15.48
45,20.3,14.61
46,18.94,15.93
47,16.05,11.29
48,17.65,15.97
49,20.19,15.47
50,22.75,13.15
51,17.28,14.18
52,22.06,12.93
53,21.42,12.73
54,19.08,12.66
55,23.86,12.38
56,24.42,13.36
57,21.34,12.91
58,21.71,12.55
59,24.14,12.54
60,25.61,9.19
61,22.13,11.68
62,23.43,10.31
63,25.53,8.19
64,22.27,10.21
65,26.78,8.01
66,24.24,7.14
67,24.19,8.64
68,25.68,6.96
69,23.9,7.39
70,28.21,5.71
71,25.05,5.88
72,28.35,2.55
73,27.08,7.22
74,28.5,5.0
75,29.73,1.35
76,28.97,0.59
77,28.77,1.61
78,29.42,4.67
79,29.74,-2.95
80,29.67,-1.19
81,34.35,-0.71
82,34.51,0.04
83,34.86,-2.14
84,31.13,-0.14
85,33.16,-4.77
86,33.94,-1.76
87,32.13,-3.48
88,35.46,-2.96
89,35.48,-3.79
90,37.83,-7.96
91,35.8,-9.41
92,36.81,-5.84
93,35.08,-8.23
94,35.9,-7.37
95,37.68,-10.79
96,41.1,-7.97
97,38.06,-11.85
98,36.07,-11.26
99,36.99,-9.66
100,39.68,-10.22
101,39.84,-10.71
102,40.72,-11.5
103,38.28,-11.39
104,38.06,-12.03
105,40.88,-11.97
106,40.18,-15.21
107,43.2,-15.52
108,44.27,-12.81
109,42.55,-12.93
110,43.63,-15.62
111,44.59,-13.63
112,43.05,-14.6
113,44.1,-13.62
114,46.38,-16.19
115,45.13,-13.55
116,42.46,-14.43
117,47.75,-15.3
118,46.53,-14.53
119,46.65,-15.91
120,50.1,-14.64
121,50.75,-13.86
122,47.64,-16.78
123,47.16,-13.52
124,48.33,-13.19
125,48.44,-15.19
126,49.15,-14.58
127,51.34,-15.49
128,48.37,-12.77
129,48.82,-16.25
130,52.24,-15.27
131,50.86,-14.0
132,51.29,-13.45
133,52.12,-10.85
134,52.0,-11.16
135,55.21,-12.02
136,55.49,-10.61
137,50.92,-11.88
138,53.7,-12.29
139,52.5,-10.45
140,56.25,-10.4
141,54.49,-8.11
142,56.46,-8.15
143,53.75,-9.31
144,54.6,-11.08
145,61.1,-6.9
146,56.96,-6.15
147,58.0,-5.57
148,57.22,-8.84
149,58.1,-4.41
150,58.82,-4.98
151,59.98,-5.95
152,60.06,-4.1
153,58.13,-5.76
154,59.98,-4.0
155,60.49,-1.39
156,64.61,-0.7
157,64.7,0.5
158,61.32,0.0
159,64.81,0.06
160,64.12,1.26
161,63.27,3.97
162,65.35,-0.45
163,63.96,-0.14
164,61.23,2.9
165,66.07,5.07
166,64.88,4.0
167,66.7,3.98
168,65.93,5.96
169,65.8,4.0
170,65.79,7.2
171,70.06,6.61
172,66.07,7.03
173,69.92,8.91
174,70.34,4.7
175,69.78,10.0
176,66.32,11.1
177,70.95,7.7
178,72.39,9.01
179,72.98,10.42
180,74.42,14.24
181,71.68,10.41
182,71.51,9.74
183,71.98,12.12
184,72.18,10.37
185,75.47,14.72
186,72.18,13.58
187,75.66,12.01
188,74.82,11.91
189,72.18,12.64
190,72.85,15.24
191,74.13,13.86
192,74.6,12.99
193,76.73,16.38
194,75.03,13.06
195,76.82,15.59
196,78.66,15.38
197,77.15,15.87
198,77.96,14.02
199,76.29,16.72
