t,x,y
0,0.757247878,-0.128746463
0.1,0.682940029,1.109992371
0.2,0.933445764,1.836213638
0.3,1.169626987,2.596359029
0.4,2.338662255,1.705076827
0.5,2.585117822,2.43286132
0.6,3.340844054,2.293876532
0.7,4.529735739,1.434529464
0.8,4.757997687,2.168408416
0.9,5.517145436,2.048380423
1,5.74537522,2.782310973
1.1,5.907171428,3.633547663
1.2,6.819498555,3.245392562
1.3,7.627452737,3.049968201
1.4,8.42290759,2.887336653
1.5,9.185163731,2.787490814
1.6,8.942790613,4.203740187
1.7,10.50146982,2.821058611
1.8,10.5386657,3.798481314
1.9,11.30241739,3.705415829
2,12.06714767,3.620536652
2.1,12.26184089,4.364950174
2.2,13.86947701,3.039203538
2.3,14.82406142,2.738910581
2.4,14.15938287,4.552487482
2.5,14.23500251,5.458329331
2.6,14.43541504,6.202245992
2.7,14.33438307,7.40730589
2.8,13.85579404,9.258596654
2.9,14.61372849,9.117060859
3,15.52674279,8.724883795
3.1,15.52725537,9.841938127
3.2,16.777313,8.867579164
3.3,17.54152778,8.761104267
3.4,17.75955324,9.501295748
3.5,18.52383069,9.394723353
3.6,18.74179119,10.13501516
3.7,18.83997852,11.07655871
3.8,19.0709724,11.82898066
3.9,20.09073672,11.25414282
4,20.32368972,11.99023793
4.1,21.10547748,11.83608513
4.2,22.51771863,10.69520172
4.3,23.75702119,9.955994461
4.4,23.92215159,10.71127846
4.5,25.58562622,9.454036734
4.6,26.44651443,9.348783782
4.7,27.2404966,9.339723954
4.8,27.14035397,10.32950913
4.9,26.49685711,11.98393046
5,27.27110377,11.94742416
5.1,28.56702396,11.26824161
5.2,28.3574491,12.40919414
5.3,29.94464125,11.39723511
5.4,29.75803359,12.47285189
5.5,30.61276048,12.39472197
5.6,30.51128122,13.39181008
5.7,30.64019833,14.15860418
5.8,31.41778354,14.14881689
5.9,32.28596368,14.04898223
6,33.48045928,13.61303594
6.1,34.6049295,13.32665177
6.2,35.92096433,12.92435779
6.3,35.91569937,13.7039406
6.4,36.82408884,13.70964065
6.5,37.58930032,13.86064652
6.6,38.75174192,13.72213951
6.7,38.23046132,14.81115819
6.8,37.77244026,15.92572072
6.9,38.6617754,15.94976871
7,39.51862118,16.03164408
7.1,39.37709901,16.89070736
7.2,38.20261418,18.61805289
7.3,39.4453979,18.20434987
7.4,39.45546405,19.01225734
7.5,40.84792307,18.52024316
7.6,40.83829865,19.31025456
7.7,42.66108163,18.5541955
7.8,42.57376041,19.34434098
7.9,42.4114978,20.21129424
8,43.28622629,20.3167553
8.1,45.2831733,19.68683394
8.2,43.72641945,21.09163336
8.3,44.50425462,21.32776307
8.4,45.56635848,21.4143762
8.5,44.08489169,22.90442132
8.6,44.89145347,23.09108826
8.7,46.6377159,22.62189594
8.8,46.31861731,23.50984058
8.9,47.84950521,23.42133066
9,49.28967159,23.67872033
9.1,48.87172419,24.43691882
9.2,48.52273539,25.23168799
9.3,49.36356787,25.71775954
9.4,50.78335103,26.23622083
9.5,51.73324546,27.21928469
9.6,50.87561281,27.64998016
9.7,51.66765984,28.83718582
9.8,51.11980997,29.82873363
9.9,50.08538306,30.55826955
10,50,30
